ParticipantCode,Condition,QuestionNumber,TotalExchanges,AvgHelpScore,ModelLeakCount,OnTopicSeconds,OffTopicSeconds,SubstantiveQuestionCount,ChatUsedInQuestion,DominantUtilityLevel,EffectiveHelpLevel
P01,B,1,1,65.3,0,14.5,11.2,1,1,Productive,Moderate
P01,B,2,1,60.7,0,26.6,10.4,1,1,Productive,Moderate
P01,B,3,1,63.7,0,22.7,7.6,1,1,Productive,Moderate
P01,B,4,1,56.5,0,29.0,0.5,1,1,Productive,Moderate
P01,B,5,1,59.8,0,24.3,9.5,1,1,Productive,Moderate
P01,B,6,1,57.3,0,13.5,3.6,1,1,Productive,Moderate
P01,C,1,1,69.0,0,31.6,1.3,1,1,Productive,Moderate
P01,C,2,1,77.3,0,21.5,5.4,1,1,Productive,Moderate
P01,C,3,1,79.8,0,8.7,1.6,1,1,Productive,Moderate
P01,C,4,1,72.1,0,6.0,6.9,1,1,Productive,Moderate
P01,C,5,1,68.4,0,33.6,4.1,1,1,Productive,Moderate
P01,C,6,1,66.6,0,10.4,3.8,1,1,Productive,Moderate
P02,B,1,1,69.4,0,22.6,5.4,1,1,Productive,Moderate
P02,B,2,1,57.5,0,15.5,11.4,1,1,Productive,Moderate
P02,B,3,1,67.0,0,33.1,11.2,1,1,Productive,Moderate
P02,B,4,1,64.7,0,30.7,1.1,1,1,Productive,Moderate
P02,B,5,1,61.6,0,28.6,1.0,1,1,Productive,Moderate
P02,B,6,0,,0,0.0,0.0,0,0,None,None
P02,C,1,1,72.4,0,34.4,3.4,1,1,Productive,Moderate
P02,C,2,1,78.3,0,34.3,9.1,1,1,Productive,Moderate
P02,C,3,1,83.3,0,30.9,0.9,1,1,Productive,Moderate
P02,C,4,0,,0,0.0,0.0,0,0,None,None
P02,C,5,0,,0,0.0,0.0,0,0,None,None
P02,C,6,0,,0,0.0,0.0,0,0,None,None
P03,B,1,1,68.4,0,0.0,0.0,0,,,Moderate
P03,B,2,1,63.0,1,0.0,0.0,0,,,Moderate
P03,B,3,1,62.3,0,0.0,0.0,0,,,Moderate
P03,B,4,0,,0,0.0,0.0,0,,,None
P03,B,5,0,,0,0.0,0.0,0,,,None
P03,B,6,0,,0,0.0,0.0,0,,,None
P03,C,1,1,77.3,0,0.0,0.0,0,,,Moderate
P03,C,2,1,73.0,0,0.0,0.0,0,,,Moderate
P03,C,3,1,78.4,0,0.0,0.0,0,,,Moderate
P03,C,4,0,,0,0.0,0.0,0,,,None
P03,C,5,0,,0,0.0,0.0,0,,,None
P03,C,6,0,,0,0.0,0.0,0,,,None
P04,B,1,1,61.5,0,0.0,0.0,0,,,Moderate
P04,B,2,1,63.1,0,0.0,0.0,0,,,Moderate
P04,B,3,1,59.7,0,0.0,0.0,0,,,Moderate
P04,B,4,1,64.4,0,0.0,0.0,0,,,Moderate
P04,B,5,0,,0,0.0,0.0,0,,,None
P04,B,6,0,,0,0.0,0.0,0,,,None
P04,C,1,1,71.9,0,0.0,0.0,0,,,Moderate
P04,C,2,1,78.6,0,0.0,0.0,0,,,Moderate
P04,C,3,1,75.8,0,0.0,0.0,0,,,Moderate
P04,C,4,1,77.7,0,0.0,0.0,0,,,Moderate
P04,C,5,1,78.1,0,0.0,0.0,0,,,Moderate
P04,C,6,0,,0,0.0,0.0,0,,,None
P05,B,1,1,73.0,0,0.0,0.0,0,,,Moderate
P05,B,2,1,62.2,0,0.0,0.0,0,,,Moderate
P05,B,3,1,72.6,0,0.0,0.0,0,,,Moderate
P05,B,4,1,75.7,0,0.0,0.0,0,,,Moderate
P05,B,5,1,63.5,0,0.0,0.0,0,,,Moderate
P05,B,6,1,73.6,0,0.0,0.0,0,,,Moderate
P05,C,1,1,83.3,0,0.0,0.0,0,,,Moderate
P05,C,2,1,75.4,0,0.0,0.0,0,,,Moderate
P05,C,3,1,73.9,0,0.0,0.0,0,,,Moderate
P05,C,4,0,,0,0.0,0.0,0,,,None
P05,C,5,0,,0,0.0,0.0,0,,,None
P05,C,6,0,,0,0.0,0.0,0,,,None
