AnalysisId,Metric,Label,Left,Right,MeanDiff,CI_Low,CI_High,Units,N
RQ1,accuracy,Precision,A,B,23.3333,10.0,40.0,pp,5
RQ1,accuracy,Precision,A,C,23.3333,6.6667,46.6667,pp,5
RQ1,accuracy,Precision,B,C,0.0,-16.6667,13.3333,pp,5
RQ2,mean_confidence,Confianza Unity,A,B,2.0,1.8,2.2,units,5
RQ2,mean_confidence,Confianza Unity,A,C,3.1,2.4333,3.5667,units,5
RQ2,mean_confidence,Confianza Unity,B,C,1.1,0.5667,1.6333,units,5
RQ3,calibration_gap,Brecha calibracion,A,B,0.1,-0.0778,0.2722,units,5
RQ3,calibration_gap,Brecha calibracion,A,C,0.2833,0.0944,0.45,units,5
RQ3,calibration_gap,Brecha calibracion,B,C,0.1833,0.0556,0.3556,units,5
RQ2_FORMS,RAW_TLX,RAW-TLX,A,B,-0.9165,-1.166,-0.667,units,2
RQ2_FORMS,RAW_TLX,RAW-TLX,A,C,-0.5835,-0.834,-0.333,units,2
RQ2_FORMS,RAW_TLX,RAW-TLX,B,C,0.333,-0.167,0.833,units,2
